evento,url,fecha,lugar
UFC 280: Oliveira vs. Makhachev,http://ufcstats.com/event-details/885e7f70dcac0007,22/10/2022,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Grasso vs. Araujo,http://ufcstats.com/event-details/49c29e57d4e2be6f,15/10/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Yan,http://ufcstats.com/event-details/4f670b7972fa0a2e,1/10/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Song,http://ufcstats.com/event-details/8d477c3fbe001f9d,17/9/2022,"Las Vegas, Nevada, USA"
UFC 279: Diaz vs. Ferguson,http://ufcstats.com/event-details/93bf96be327fcd98,10/9/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Gane vs. Tuivasa,http://ufcstats.com/event-details/00a905a4a4a2b071,3/9/2022,"Paris, Ile-de-France, France"
UFC 278: Usman vs. Edwards,http://ufcstats.com/event-details/4f853e98886283cf,20/8/2022,"Salt Lake City, Utah, USA"
UFC Fight Night: Vera vs. Cruz,http://ufcstats.com/event-details/a23e63184c65f5b8,13/8/2022,"San Diego, California, USA"
UFC Fight Night: Santos vs. Hill,http://ufcstats.com/event-details/8f6a18831a120817,6/8/2022,"Las Vegas, Nevada, USA"
UFC 277: Pena vs. Nunes 2,http://ufcstats.com/event-details/b0a6124751a56bc4,30/7/2022,"Dallas, Texas, USA"
UFC Fight Night: Blaydes vs. Aspinall,http://ufcstats.com/event-details/319c15b8aac5bfde,23/7/2022,"London, England, United Kingdom"
UFC Fight Night: Ortega vs. Rodriguez,http://ufcstats.com/event-details/8fd76e1b49c00ae2,16/7/2022,"Elmont, New York, USA"
UFC Fight Night: Dos Anjos vs. Fiziev,http://ufcstats.com/event-details/31da66df48c0c1a0,9/7/2022,"Las Vegas, Nevada, USA"
UFC 276: Adesanya vs. Cannonier,http://ufcstats.com/event-details/4a9e305633f3ef47,2/7/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Tsarukyan vs. Gamrot,http://ufcstats.com/event-details/eb42d4febfafefd1,25/6/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Kattar vs. Emmett,http://ufcstats.com/event-details/a0a680fe2f6cc8e6,18/6/2022,"Austin, Texas, USA"
UFC 275: Teixeira vs. Prochazka,http://ufcstats.com/event-details/3a24769a4855040a,11/6/2022,"Kallang, Singapore"
UFC Fight Night: Volkov vs. Rozenstruik,http://ufcstats.com/event-details/57591bbf1623574e,4/6/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Holm vs. Vieira,http://ufcstats.com/event-details/a6c32678efd4f434,21/5/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Blachowicz vs. Rakic,http://ufcstats.com/event-details/60ba33c3f555a7a3,14/5/2022,"Las Vegas, Nevada, USA"
UFC 274: Oliveira vs. Gaethje,http://ufcstats.com/event-details/253d3f9e97ca149a,7/5/2022,"Phoenix, Arizona, USA"
UFC Fight Night: Font vs. Vera,http://ufcstats.com/event-details/6bf5a7d3e081ade2,30/4/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Lemos vs. Andrade,http://ufcstats.com/event-details/236a37d96d476164,23/4/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Luque vs. Muhammad,http://ufcstats.com/event-details/8753e125f4499816,16/4/2022,"Las Vegas, Nevada, USA"
UFC 273: Volkanovski vs. The Korean Zombie,http://ufcstats.com/event-details/3a97fda0de6f1fa4,9/4/2022,"Jacksonville, Florida, USA"
UFC Fight Night: Blaydes vs. Daukaus,http://ufcstats.com/event-details/1fac46d466abd5b8,26/3/2022,"Columbus, Ohio, USA"
UFC Fight Night: Volkov vs. Aspinall,http://ufcstats.com/event-details/1d00756835ca67c9,19/3/2022,"London, England, United Kingdom"
UFC Fight Night: Santos vs. Ankalaev,http://ufcstats.com/event-details/1f9344211ca7fd60,12/3/2022,"Las Vegas, Nevada, USA"
UFC 272: Covington vs. Masvidal,http://ufcstats.com/event-details/75e0d3cc2262b732,5/3/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Makhachev vs. Green,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,26/2/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Walker vs. Hill,http://ufcstats.com/event-details/77940e45bc86208e,19/2/2022,"Las Vegas, Nevada, USA"
UFC 271: Adesanya vs. Whittaker 2,http://ufcstats.com/event-details/cbb682f5fcc44bfc,12/2/2022,"Houston, Texas, USA"
UFC Fight Night: Hermansson vs. Strickland,http://ufcstats.com/event-details/883922e5cd6d8473,5/2/2022,"Las Vegas, Nevada, USA"
UFC 270: Ngannou vs. Gane,http://ufcstats.com/event-details/335ad945324c3a2e,22/1/2022,"Anaheim, California, USA"
UFC Fight Night: Kattar vs. Chikadze,http://ufcstats.com/event-details/f5585e675af7afd4,15/1/2022,"Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Daukaus,http://ufcstats.com/event-details/2a470ad41c22c25a,18/12/2021,"Las Vegas, Nevada, USA"
UFC 269: Oliveira vs. Poirier,http://ufcstats.com/event-details/ef927e4fe2117ab8,11/12/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Aldo,http://ufcstats.com/event-details/509697e08673d2e5,4/12/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Vieira vs. Tate,http://ufcstats.com/event-details/c95fbc085e17a532,20/11/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs. Rodriguez,http://ufcstats.com/event-details/b5abaa65f87938eb,13/11/2021,"Las Vegas, Nevada, USA"
UFC 268: Usman vs. Covington 2,http://ufcstats.com/event-details/48e093ea1f43a053,6/11/2021,"New York City, New York, USA"
UFC 267: Blachowicz vs. Teixeira,http://ufcstats.com/event-details/3974fa35c917af1d,30/10/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Costa vs. Vettori,http://ufcstats.com/event-details/8a9c6c4301f6d088,23/10/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Ladd vs. Dumont,http://ufcstats.com/event-details/8f4616698508f24d,16/10/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Rodriguez,http://ufcstats.com/event-details/d247691a6c0e9034,9/10/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Santos vs. Walker,http://ufcstats.com/event-details/e15d0a2519d6a0b5,2/10/2021,"Las Vegas, Nevada, USA"
UFC 266: Volkanovski vs. Ortega,http://ufcstats.com/event-details/0eec866a077889f0,25/9/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Spann,http://ufcstats.com/event-details/4c27ca8c8481f79a,18/9/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Till,http://ufcstats.com/event-details/b9532d815060de7f,4/9/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Barboza vs. Chikadze,http://ufcstats.com/event-details/0db9d2486d564a3c,28/8/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Gastelum,http://ufcstats.com/event-details/2f13e4020cea5b38,21/8/2021,"Las Vegas, Nevada, USA"
UFC 265: Lewis vs. Gane,http://ufcstats.com/event-details/972197a8c61ac413,7/8/2021,"Houston, Texas, USA"
UFC Fight Night: Hall vs. Strickland,http://ufcstats.com/event-details/320edfb0332b7073,31/7/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Dillashaw,http://ufcstats.com/event-details/e57f0b06ea39e360,24/7/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Makhachev vs. Moises,http://ufcstats.com/event-details/40389d39a92f5bfa,17/7/2021,"Las Vegas, Nevada, USA"
UFC 264: Poirier vs. McGregor 3,http://ufcstats.com/event-details/8a0be41c0380188d,10/7/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Gane vs. Volkov,http://ufcstats.com/event-details/a1d6b308781aa2f5,26/6/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Jung vs. Ige,http://ufcstats.com/event-details/9ddfb3369a3b0394,19/6/2021,"Las Vegas, Nevada, USA"
UFC 263: Adesanya vs. Vettori 2,http://ufcstats.com/event-details/0b64d0fed453ef7f,12/6/2021,"Glendale, Arizona, USA"
UFC Fight Night: Rozenstruik vs. Sakai,http://ufcstats.com/event-details/3b2485c8d5c8b580,5/6/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Garbrandt,http://ufcstats.com/event-details/277ffed20cf07aea,22/5/2021,"Las Vegas, Nevada, USA"
UFC 262: Oliveira vs. Chandler,http://ufcstats.com/event-details/744f50016c39c26c,15/5/2021,"Houston, Texas, USA"
UFC Fight Night: Rodriguez vs. Waterson,http://ufcstats.com/event-details/58a36b4ccf5dc30e,8/5/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Reyes vs. Prochazka,http://ufcstats.com/event-details/d57e6a8971b6d2bd,1/5/2021,"Las Vegas, Nevada, USA"
UFC 261: Usman vs. Masvidal 2,http://ufcstats.com/event-details/27541033b97c076d,24/4/2021,"Jacksonville, Florida, USA"
UFC Fight Night: Whittaker vs. Gastelum,http://ufcstats.com/event-details/4a35913bd9aa4161,17/4/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Vettori vs. Holland,http://ufcstats.com/event-details/9114c8ded5ccd71d,10/4/2021,"Las Vegas, Nevada, USA"
UFC 260: Miocic vs. Ngannou,http://ufcstats.com/event-details/6597b611f1c32555,27/3/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Holland,http://ufcstats.com/event-details/c36e1f4fa755ffb4,20/3/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Edwards vs. Muhammad,http://ufcstats.com/event-details/8c90c1563972e44d,13/3/2021,"Las Vegas, Nevada, USA"
UFC 259: Blachowicz vs. Adesanya,http://ufcstats.com/event-details/6e2b1d631832921d,6/3/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Rozenstruik vs. Gane,http://ufcstats.com/event-details/81b57acd6975ac06,27/2/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Lewis,http://ufcstats.com/event-details/bfe95ec546692b13,20/2/2021,"Las Vegas, Nevada, USA"
UFC 258: Usman vs. Burns,http://ufcstats.com/event-details/3f7c14c7eca7195d,13/2/2021,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Volkov,http://ufcstats.com/event-details/a1153013cb5f628f,6/2/2021,"Las Vegas, Nevada, USA"
UFC 257: Poirier vs. McGregor,http://ufcstats.com/event-details/4304992c2acc187b,23/1/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Chiesa vs. Magny,http://ufcstats.com/event-details/56116537d71a578c,20/1/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Holloway vs. Kattar,http://ufcstats.com/event-details/307064d3e0f036c2,16/1/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Thompson vs. Neal,http://ufcstats.com/event-details/e49c2db95e572dc8,19/12/2020,"Las Vegas, Nevada, USA"
UFC 256: Figueiredo vs. Moreno,http://ufcstats.com/event-details/d0d43cb9b14f231c,12/12/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Hermansson vs. Vettori,http://ufcstats.com/event-details/398b440e73d55b8b,5/12/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Clark,http://ufcstats.com/event-details/992c82450d96f726,28/11/2020,"Las Vegas, Nevada, USA"
UFC 255: Figueiredo vs. Perez,http://ufcstats.com/event-details/bbb15f301e4a490a,21/11/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Felder vs. Dos Anjos,http://ufcstats.com/event-details/3bc27ec15facbcf3,14/11/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Santos vs. Teixeira,http://ufcstats.com/event-details/41dca66f9dadfc86,7/11/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Hall vs. Silva,http://ufcstats.com/event-details/ad044be25c94dcfd,31/10/2020,"Las Vegas, Nevada, USA"
UFC 254: Khabib vs. Gaethje,http://ufcstats.com/event-details/c3c38c86f5ab9b5c,24/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Ortega vs. The Korean Zombie,http://ufcstats.com/event-details/d4f364dd076bb0e2,17/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Moraes vs. Sandhagen,http://ufcstats.com/event-details/fd4578cac86d75ca,10/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Holm vs. Aldana,http://ufcstats.com/event-details/805ad1801eb26abb,3/10/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 253: Adesanya vs. Costa,http://ufcstats.com/event-details/e69c5ce12f4e762b,26/9/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Covington vs. Woodley,http://ufcstats.com/event-details/831b937811804dad,19/9/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Waterson vs. Hill,http://ufcstats.com/event-details/9c37681096c6f3a9,12/9/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Sakai,http://ufcstats.com/event-details/542db012217ecb83,5/9/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Rakic,http://ufcstats.com/event-details/e29cf523ebd155c5,29/8/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Munhoz vs. Edgar,http://ufcstats.com/event-details/af1e5c64b8663aa0,22/8/2020,"Las Vegas, Nevada, USA"
UFC 252: Miocic vs. Cormier 3,http://ufcstats.com/event-details/bda04c573563cc2e,15/8/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Oleinik,http://ufcstats.com/event-details/7a82635ffa9b59fe,8/8/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Shahbazyan,http://ufcstats.com/event-details/3746e21bb508391a,1/8/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,25/7/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,18/7/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,15/7/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 251: Usman vs. Masvidal,http://ufcstats.com/event-details/dbd198f780286aca,11/7/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Poirier vs. Hooker,http://ufcstats.com/event-details/c32eab6c2119e989,27/6/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Volkov,http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,20/6/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Eye vs. Calvillo,http://ufcstats.com/event-details/1e13936d708bcff7,13/6/2020,"Las Vegas, Nevada, USA"
UFC 250: Nunes vs. Spencer,http://ufcstats.com/event-details/4c12aa7ca246e7a4,6/6/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Woodley vs. Burns,http://ufcstats.com/event-details/14b9e0f2679a2205,30/5/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Harris,http://ufcstats.com/event-details/dfb965c9824425db,16/5/2020,"Jacksonville, Florida, USA"
UFC Fight Night: Smith vs. Teixeira,http://ufcstats.com/event-details/5f8e00c27b7e7410,13/5/2020,"Jacksonville, Florida, USA"
UFC 249: Ferguson vs. Gaethje,http://ufcstats.com/event-details/898337ef520fe4d3,9/5/2020,"Jacksonville, Florida, USA"
UFC Fight Night: Lee vs. Oliveira,http://ufcstats.com/event-details/53278852bcd91e11,14/3/2020,"Brasilia, Distrito Federal, Brazil"
UFC 248: Adesanya vs. Romero,http://ufcstats.com/event-details/0b5b6876c2a4723f,7/3/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Benavidez vs. Figueiredo,http://ufcstats.com/event-details/fc9a9559a05f2704,29/2/2020,"Norfolk, Virginia, USA"
UFC Fight Night: Felder vs. Hooker,http://ufcstats.com/event-details/33b2f68ef95252e0,22/2/2020,"Auckland, New Zealand"
UFC Fight Night: Anderson vs. Blachowicz,http://ufcstats.com/event-details/5df17b3620145578,15/2/2020,"Rio Rancho, New Mexico, USA"
UFC 247: Jones vs. Reyes,http://ufcstats.com/event-details/b26d3e3746fb4024,8/2/2020,"Houston, Texas, USA"
UFC Fight Night: Blaydes vs. Dos Santos,http://ufcstats.com/event-details/44aa652b181bcf68,25/1/2020,"Raleigh, North Carolina, USA"
UFC 246: McGregor vs. Cowboy,http://ufcstats.com/event-details/0c1773639c795466,18/1/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Edgar vs. The Korean Zombie,http://ufcstats.com/event-details/74fefd43f073cd2f,21/12/2019,"Busan, South Korea"
UFC 245: Usman vs. Covington,http://ufcstats.com/event-details/4565d435005319c0,14/12/2019,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Rozenstruik,http://ufcstats.com/event-details/b09890ba7ce1d1e2,7/12/2019,"Washington, DC, USA"
UFC Fight Night: Blachowicz vs. Jacare,http://ufcstats.com/event-details/81ca2c245b19b3c5,16/11/2019,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Zabit vs. Kattar,http://ufcstats.com/event-details/8d5daf67983b65ba,9/11/2019,"Moscow, Moscow, Russia"
UFC 244: Masvidal vs. Diaz,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,2/11/2019,"New York City, New York, USA"
UFC Fight Night: Maia vs. Askren,http://ufcstats.com/event-details/df05aa15b2d66f57,26/10/2019,"Kallang, Singapore"
UFC Fight Night: Reyes vs. Weidman,http://ufcstats.com/event-details/3ae10ac4df3df05c,18/10/2019,"Boston, Massachusetts, USA"
UFC Fight Night: Joanna vs. Waterson,http://ufcstats.com/event-details/0941df56f6ac954b,12/10/2019,"Tampa, Florida, USA"
UFC 243: Whittaker vs. Adesanya,http://ufcstats.com/event-details/3cf68c1d17f66af7,5/10/2019,"Melbourne, Victoria, Australia"
UFC Fight Night: Hermansson vs. Cannonier,http://ufcstats.com/event-details/1bf49bf829964144,28/9/2019,"Copenhagen, Denmark"
UFC Fight Night: Rodriguez vs. Stephens,http://ufcstats.com/event-details/94a5aaf573f780ad,21/9/2019,"Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Cowboy vs. Gaethje,http://ufcstats.com/event-details/4834ff149dc9542a,14/9/2019,"Vancouver, British Columbia, Canada"
UFC 242: Khabib vs. Poirier,http://ufcstats.com/event-details/a79bfbc01b2264d6,7/9/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Andrade vs. Zhang,http://ufcstats.com/event-details/2c104b7e59a72629,31/8/2019,"Shenzhen, Guangdong, China"
UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,17/8/2019,"Anaheim, California, USA"
UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,10/8/2019,"Montevideo, Uruguay"
UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,3/8/2019,"Newark, New Jersey, USA"
UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,27/7/2019,"Edmonton, Alberta, Canada"
UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,20/7/2019,"San Antonio, Texas, USA"
UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,13/7/2019,"Sacramento, California, USA"
UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,6/7/2019,"Las Vegas, Nevada, USA"
UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,29/6/2019,"Minneapolis, Minnesota, USA"
UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,22/6/2019,"Greenville, South Carolina, USA"
UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,8/6/2019,"Chicago, Illinois, USA"
UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,1/6/2019,"Stockholm, Sweden"
UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,18/5/2019,"Rochester, New York, USA"
UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,11/5/2019,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Iaquinta vs. Cowboy,http://ufcstats.com/event-details/351264d11286d09a,4/5/2019,"Ottawa, Ontario, Canada"
UFC Fight Night: Jacare vs. Hermansson,http://ufcstats.com/event-details/c912f676692c353a,27/4/2019,"Sunrise, Florida, USA"
UFC Fight Night: Overeem vs. Oleinik,http://ufcstats.com/event-details/7dcf06c1967801c1,20/4/2019,"Saint Petersburg, Saint Petersburg, Russia"
UFC 236: Holloway vs. Poirier 2,http://ufcstats.com/event-details/b0550072e5f0afa7,13/4/2019,"Atlanta, Georgia, USA"
